data/train/session_1/sub_18/d_rgb/28/rgb_images,13
data/train/session_1/sub_7/d_rgb/26/depth_images,12
data/train/session_1/sub_33/thermal/9_1_0,8
data/train/session_1/sub_33/thermal/6_1_0,5
data/train/session_2/exp_2/thermal/7,21
data/train/session_1/sub_55/event-streams/15,7
data/train/session_2/exp_22/d_rgb/4/rgb_images,18
data/train/session_1/sub_3/d_rgb/4/depth_images,1
data/train/session_1/sub_19/d_rgb/29/depth_images,14
data/train/session_1/sub_16/thermal/6_1_0,5
data/train/session_1/sub_7/d_rgb/11/depth_images,5
data/train/session_1/sub_28/event-streams/1,0
data/train/session_2/exp_19/d_rgb/7/rgb_images,21
data/train/session_1/sub_54/event-streams/2,0
data/train/session_2/exp_19/event-streams/2,16
data/train/session_1/sub_31/d_rgb/22/rgb_images,10
data/train/session_1/sub_24/d_rgb/14/rgb_images,6
data/train/session_1/sub_56/event-streams/3,1
data/train/session_1/sub_16/thermal/14_2_0,13
data/train/session_1/sub_3/d_rgb/22/depth_images,10
data/train/session_1/sub_1/event-streams/6,2
data/train/session_2/exp_5/d_rgb/9/depth_images,23
data/train/session_1/sub_9/d_rgb/29/rgb_images,14
data/train/session_1/sub_16/d_rgb/2/depth_images,0
data/train/session_1/sub_47/thermal/5_1_0,4
data/train/session_1/sub_9/event-streams/7,3
data/train/session_1/sub_21/d_rgb/28/depth_images,13
data/train/session_2/exp_6/event-streams/15,27
data/train/session_2/exp_5/d_rgb/7/depth_images,21
data/train/session_1/sub_6/event-streams/1,0
data/train/session_1/sub_34/d_rgb/1/depth_images,0
data/train/session_1/sub_54/thermal/12_2_0,11
data/train/session_1/sub_23/d_rgb/3/rgb_images,1
data/train/session_1/sub_30/thermal/11_2_0,10
data/train/session_1/sub_47/event-streams/29,14
data/train/session_1/sub_22/thermal/13_2_0,12
data/train/session_1/sub_34/thermal/11_2_0,10
data/train/session_1/sub_3/event-streams/20,9
data/train/session_1/sub_3/d_rgb/24/depth_images,11
data/train/session_1/sub_22/d_rgb/17/depth_images,8
data/train/session_1/sub_34/thermal/2_1_0,1
data/train/session_1/sub_26/d_rgb/9/rgb_images,4
data/train/session_1/sub_16/event-streams/4,1
data/train/session_1/sub_21/event-streams/30,14
data/train/session_1/sub_26/event-streams/27,13
data/train/session_1/sub_9/thermal/10_2_0,9
data/train/session_1/sub_55/d_rgb/27/depth_images,13
data/train/session_1/sub_21/event-streams/26,12
data/train/session_1/sub_34/d_rgb/26/rgb_images,12
data/train/session_1/sub_5/d_rgb/5/depth_images,2
data/train/session_2/exp_24/d_rgb/11/rgb_images,25
data/train/session_2/exp_1/d_rgb/10/depth_images,24
data/train/session_2/exp_5/d_rgb/13/depth_images,27
data/train/session_1/sub_21/thermal/3_2_0,2
data/train/session_1/sub_5/event-streams/17,8
data/train/session_1/sub_7/thermal/7_1_0,6
data/train/session_1/sub_16/d_rgb/25/depth_images,12
data/train/session_1/sub_30/d_rgb/7/rgb_images,3
data/train/session_1/sub_19/d_rgb/1/depth_images,0
data/train/session_1/sub_4/d_rgb/27/depth_images,13
